,index,Year,J-D
0,1,1881,-0.09
1,2,1882,-0.11
2,3,1883,-0.18
3,4,1884,-0.29
4,5,1885,-0.34
5,6,1886,-0.32
6,7,1887,-0.37
7,8,1888,-0.17
8,9,1889,-0.11
9,10,1890,-0.36
10,11,1891,-0.23
11,12,1892,-0.28
12,13,1893,-0.31
13,14,1894,-0.3
14,15,1895,-0.23
15,16,1896,-0.11
16,17,1897,-0.11
17,18,1898,-0.27
18,19,1899,-0.17
19,20,1900,-0.08
20,21,1901,-0.15
21,22,1902,-0.28
22,23,1903,-0.37
23,24,1904,-0.47
24,25,1905,-0.26
25,26,1906,-0.22
26,27,1907,-0.38
27,28,1908,-0.42
28,29,1909,-0.48
29,30,1910,-0.43
30,31,1911,-0.44
31,32,1912,-0.36
32,33,1913,-0.34
33,34,1914,-0.15
34,35,1915,-0.14
35,36,1916,-0.35
36,37,1917,-0.45
37,38,1918,-0.29
38,39,1919,-0.27
39,40,1920,-0.27
40,41,1921,-0.18
41,42,1922,-0.28
42,43,1923,-0.26
43,44,1924,-0.27
44,45,1925,-0.22
45,46,1926,-0.1
46,47,1927,-0.21
47,48,1928,-0.2
48,49,1929,-0.36
49,50,1930,-0.16
50,51,1931,-0.09
51,52,1932,-0.16
52,53,1933,-0.28
53,54,1934,-0.12
54,55,1935,-0.2
55,56,1936,-0.14
56,57,1937,-0.03
57,58,1938,0.0
58,59,1939,-0.02
59,60,1940,0.13
60,61,1941,0.19
61,62,1942,0.07
62,63,1943,0.09
63,64,1944,0.2
64,65,1945,0.09
65,66,1946,-0.07
66,67,1947,-0.03
67,68,1948,-0.11
68,69,1949,-0.11
69,70,1950,-0.17
70,71,1951,-0.07
71,72,1952,0.01
72,73,1953,0.08
73,74,1954,-0.13
74,75,1955,-0.14
75,76,1956,-0.19
76,77,1957,0.05
77,78,1958,0.06
78,79,1959,0.03
79,80,1960,-0.02
80,81,1961,0.06
81,82,1962,0.03
82,83,1963,0.05
83,84,1964,-0.2
84,85,1965,-0.11
85,86,1966,-0.06
86,87,1967,-0.02
87,88,1968,-0.08
88,89,1969,0.05
89,90,1970,0.03
90,91,1971,-0.08
91,92,1972,0.01
92,93,1973,0.16
93,94,1974,-0.07
94,95,1975,-0.01
95,96,1976,-0.1
96,97,1977,0.18
97,98,1978,0.07
98,99,1979,0.16
99,100,1980,0.26
100,101,1981,0.32
101,102,1982,0.14
102,103,1983,0.31
103,104,1984,0.16
104,105,1985,0.12
105,106,1986,0.18
106,107,1987,0.32
107,108,1988,0.39
108,109,1989,0.27
109,110,1990,0.45
110,111,1991,0.4
111,112,1992,0.22
112,113,1993,0.23
113,114,1994,0.31
114,115,1995,0.44
115,116,1996,0.33
116,117,1997,0.46
117,118,1998,0.61
118,119,1999,0.38
119,120,2000,0.39
120,121,2001,0.53
121,122,2002,0.62
122,123,2003,0.62
123,124,2004,0.53
124,125,2005,0.67
125,126,2006,0.63
126,127,2007,0.66
127,128,2008,0.54
128,129,2009,0.65
129,130,2010,0.72
130,131,2011,0.61
131,132,2012,0.65
132,133,2013,0.67
133,134,2014,0.74
134,135,2015,0.9
135,136,2016,1.01
136,137,2017,0.92
137,138,2018,0.85
138,139,2019,0.97
139,140,2020,1.01
140,141,2021,0.84
141,142,2022,0.89
