,index,Year,J-D
0,1,1881,-0.18
1,2,1882,-0.21
2,3,1883,-0.29
3,4,1884,-0.43
4,5,1885,-0.44
5,6,1886,-0.44
6,7,1887,-0.44
7,8,1888,-0.23
8,9,1889,-0.18
9,10,1890,-0.39
10,11,1891,-0.26
11,12,1892,-0.4
12,13,1893,-0.47
13,14,1894,-0.38
14,15,1895,-0.3
15,16,1896,-0.19
16,17,1897,-0.16
17,18,1898,-0.28
18,19,1899,-0.2
19,20,1900,-0.09
20,21,1901,-0.12
21,22,1902,-0.33
22,23,1903,-0.37
23,24,1904,-0.48
24,25,1905,-0.28
25,26,1906,-0.23
26,27,1907,-0.46
27,28,1908,-0.45
28,29,1909,-0.49
29,30,1910,-0.44
30,31,1911,-0.42
31,32,1912,-0.46
32,33,1913,-0.41
33,34,1914,-0.18
34,35,1915,-0.13
35,36,1916,-0.41
36,37,1917,-0.56
37,38,1918,-0.39
38,39,1919,-0.34
39,40,1920,-0.3
40,41,1921,-0.1
41,42,1922,-0.27
42,43,1923,-0.21
43,44,1924,-0.17
44,45,1925,-0.13
45,46,1926,0.02
46,47,1927,-0.13
47,48,1928,-0.1
48,49,1929,-0.33
49,50,1930,-0.01
50,51,1931,0.05
51,52,1932,-0.05
52,53,1933,-0.25
53,54,1934,0.01
54,55,1935,-0.09
55,56,1936,-0.03
56,57,1937,0.12
57,58,1938,0.16
58,59,1939,0.09
59,60,1940,0.18
60,61,1941,0.23
61,62,1942,0.13
62,63,1943,0.18
63,64,1944,0.27
64,65,1945,0.11
65,66,1946,0.03
66,67,1947,0.08
67,68,1948,-0.02
68,69,1949,-0.03
69,70,1950,-0.15
70,71,1951,0.04
71,72,1952,0.06
72,73,1953,0.24
73,74,1954,-0.02
74,75,1955,-0.09
75,76,1956,-0.23
76,77,1957,0.04
77,78,1958,0.15
78,79,1959,0.13
79,80,1960,0.08
80,81,1961,0.08
81,82,1962,0.13
82,83,1963,0.14
83,84,1964,-0.19
84,85,1965,-0.14
85,86,1966,-0.02
86,87,1967,0.03
87,88,1968,-0.07
88,89,1969,-0.03
89,90,1970,-0.04
90,91,1971,-0.15
91,92,1972,-0.18
92,93,1973,0.09
93,94,1974,-0.18
94,95,1975,-0.05
95,96,1976,-0.21
96,97,1977,0.12
97,98,1978,0.02
98,99,1979,0.08
99,100,1980,0.17
100,101,1981,0.37
101,102,1982,0.05
102,103,1983,0.25
103,104,1984,0.04
104,105,1985,0.0
105,106,1986,0.13
106,107,1987,0.25
107,108,1988,0.37
108,109,1989,0.27
109,110,1990,0.53
110,111,1991,0.41
111,112,1992,0.14
112,113,1993,0.19
113,114,1994,0.37
114,115,1995,0.58
115,116,1996,0.26
116,117,1997,0.52
117,118,1998,0.7
118,119,1999,0.48
119,120,2000,0.5
120,121,2001,0.64
121,122,2002,0.71
122,123,2003,0.75
123,124,2004,0.66
124,125,2005,0.85
125,126,2006,0.81
126,127,2007,0.85
127,128,2008,0.68
128,129,2009,0.72
129,130,2010,0.9
130,131,2011,0.74
131,132,2012,0.81
132,133,2013,0.8
133,134,2014,0.92
134,135,2015,1.17
135,136,2016,1.3
136,137,2017,1.17
137,138,2018,1.03
138,139,2019,1.21
139,140,2020,1.35
140,141,2021,1.14
141,142,2022,1.16
