,index,Year,J-D
0,1,1881,-0.01
1,2,1882,-0.02
2,3,1883,-0.07
3,4,1884,-0.15
4,5,1885,-0.25
5,6,1886,-0.2
6,7,1887,-0.29
7,8,1888,-0.12
8,9,1889,-0.04
9,10,1890,-0.33
10,11,1891,-0.2
11,12,1892,-0.16
12,13,1893,-0.16
13,14,1894,-0.22
14,15,1895,-0.15
15,16,1896,-0.03
16,17,1897,-0.05
17,18,1898,-0.26
18,19,1899,-0.14
19,20,1900,-0.07
20,21,1901,-0.18
21,22,1902,-0.22
22,23,1903,-0.36
23,24,1904,-0.46
24,25,1905,-0.22
25,26,1906,-0.21
26,27,1907,-0.3
27,28,1908,-0.4
28,29,1909,-0.48
29,30,1910,-0.43
30,31,1911,-0.46
31,32,1912,-0.26
32,33,1913,-0.26
33,34,1914,-0.11
34,35,1915,-0.13
35,36,1916,-0.31
36,37,1917,-0.36
37,38,1918,-0.2
38,39,1919,-0.2
39,40,1920,-0.24
40,41,1921,-0.26
41,42,1922,-0.29
42,43,1923,-0.31
43,44,1924,-0.36
44,45,1925,-0.3
45,46,1926,-0.22
46,47,1927,-0.29
47,48,1928,-0.29
48,49,1929,-0.38
49,50,1930,-0.29
50,51,1931,-0.22
51,52,1932,-0.26
52,53,1933,-0.31
53,54,1934,-0.25
54,55,1935,-0.3
55,56,1936,-0.26
56,57,1937,-0.17
57,58,1938,-0.18
58,59,1939,-0.12
59,60,1940,0.09
60,61,1941,0.17
61,62,1942,0.01
62,63,1943,-0.01
63,64,1944,0.14
64,65,1945,0.09
65,66,1946,-0.17
66,67,1947,-0.13
67,68,1948,-0.2
68,69,1949,-0.19
69,70,1950,-0.21
70,71,1951,-0.18
71,72,1952,-0.03
72,73,1953,-0.08
73,74,1954,-0.25
74,75,1955,-0.2
75,76,1956,-0.16
76,77,1957,0.05
77,78,1958,-0.02
78,79,1959,-0.06
79,80,1960,-0.13
80,81,1961,0.03
81,82,1962,-0.06
82,83,1963,-0.03
83,84,1964,-0.2
84,85,1965,-0.07
85,86,1966,-0.09
86,87,1967,-0.08
87,88,1968,-0.09
88,89,1969,0.14
89,90,1970,0.09
90,91,1971,-0.02
91,92,1972,0.2
92,93,1973,0.23
93,94,1974,0.03
94,95,1975,0.02
95,96,1976,0.01
96,97,1977,0.24
97,98,1978,0.11
98,99,1979,0.25
99,100,1980,0.35
100,101,1981,0.27
101,102,1982,0.23
102,103,1983,0.38
103,104,1984,0.27
104,105,1985,0.24
105,106,1986,0.23
106,107,1987,0.4
107,108,1988,0.41
108,109,1989,0.27
109,110,1990,0.37
110,111,1991,0.4
111,112,1992,0.31
112,113,1993,0.27
113,114,1994,0.26
114,115,1995,0.31
115,116,1996,0.4
116,117,1997,0.41
117,118,1998,0.51
118,119,1999,0.28
119,120,2000,0.28
120,121,2001,0.43
121,122,2002,0.54
122,123,2003,0.49
123,124,2004,0.41
124,125,2005,0.49
125,126,2006,0.45
126,127,2007,0.47
127,128,2008,0.4
128,129,2009,0.59
129,130,2010,0.55
130,131,2011,0.47
131,132,2012,0.48
132,133,2013,0.55
133,134,2014,0.57
134,135,2015,0.62
135,136,2016,0.72
136,137,2017,0.67
137,138,2018,0.66
138,139,2019,0.74
139,140,2020,0.68
140,141,2021,0.55
141,142,2022,0.62
