,Year,Month,temp,Nombre,population,co2_including_luc,cumulative_co2_including_luc
0,1950,1.0,-0.26,2.0,2499322112.0,11428.435,607670.188
1,1951,1.0,-0.34,4.0,2543130368.0,11978.877,619649.062
2,1952,1.0,0.11,2.0,2590270976.0,12190.116,631839.125
3,1953,1.0,0.07,4.0,2640278784.0,12479.874,644319.0
4,1954,1.0,-0.24,3.0,2691979264.0,12793.677,657112.688
5,1955,1.0,0.13,3.0,2746072064.0,13628.81,670741.5
6,1956,1.0,-0.13,0.0,2801002752.0,14315.245,685056.812
7,1957,1.0,-0.09,1.0,2857866752.0,14768.167,699824.938
8,1958,1.0,0.39,4.0,2916108032.0,15192.604,715017.562
9,1959,1.0,0.08,2.0,2970292224.0,15960.473,730978.0
10,1960,1.0,0.0,4.0,3019233536.0,15955.755,746933.75
11,1961,1.0,0.07,1.0,3068370688.0,15524.516,762458.25
12,1962,1.0,0.05,1.0,3126686720.0,15643.748,778102.062
13,1963,1.0,-0.03,4.0,3195779328.0,15924.23,794026.25
14,1964,1.0,-0.09,5.0,3267212288.0,16305.338,810331.625
15,1965,1.0,-0.08,4.0,3337112064.0,16384.297,826715.875
16,1966,1.0,-0.19,12.0,3406416896.0,16714.65,843430.562
17,1967,1.0,-0.07,9.0,3475448064.0,17168.934,860599.5
18,1968,1.0,-0.26,12.0,3546810880.0,17888.312,878487.812
19,1969,1.0,-0.11,7.0,3620655360.0,18433.381,896921.188
20,1970,1.0,0.08,7.0,3695390208.0,19497.402,916418.562
21,1971,1.0,-0.02,10.0,3770163200.0,20091.359,936509.875
22,1972,1.0,-0.22,7.0,3844800768.0,20819.232,957329.188
23,1973,1.0,0.29,7.0,3920251392.0,21533.803,978862.938
24,1974,1.0,-0.1,5.0,3995516928.0,21338.432,1000201.375
25,1975,1.0,0.1,8.0,4069437184.0,21424.682,1021626.062
26,1976,1.0,-0.03,15.0,4142505728.0,22296.721,1043922.812
27,1977,1.0,0.18,12.0,4215772416.0,22910.027,1066832.875
28,1978,1.0,0.06,7.0,4289657600.0,23300.564,1090133.375
29,1979,1.0,0.08,8.0,4365582848.0,23677.932,1113811.375
30,1980,1.0,0.3,10.0,4444007936.0,23585.891,1137397.25
31,1981,1.0,0.53,10.0,4524627456.0,23427.91,1160825.125
32,1982,1.0,0.05,18.0,4607984640.0,23293.379,1184118.5
33,1983,1.0,0.53,13.0,4691884032.0,23811.387,1207929.875
34,1984,1.0,0.31,16.0,4775836160.0,24970.838,1232900.75
35,1985,1.0,0.22,14.0,4861730816.0,25405.865,1258306.5
36,1986,1.0,0.26,8.0,4950063104.0,25744.014,1284050.625
37,1987,1.0,0.32,13.0,5040984576.0,26386.771,1310437.375
38,1988,1.0,0.57,11.0,5132294144.0,27166.314,1337603.625
39,1989,1.0,0.12,16.0,5223704064.0,27279.248,1364882.875
40,1990,1.0,0.41,22.0,5316175872.0,27634.754,1392517.75
41,1991,1.0,0.42,18.0,5406245888.0,28002.021,1420519.625
42,1992,1.0,0.47,19.0,5492686336.0,27470.73,1447990.375
43,1993,1.0,0.34,30.0,5577433600.0,27689.318,1475679.75
44,1994,1.0,0.26,25.0,5660727808.0,28265.32,1503945.0
45,1995,1.0,0.52,17.0,5743219712.0,28746.965,1532692.0
46,1996,1.0,0.24,18.0,5825145344.0,29444.461,1562136.5
47,1997,1.0,0.31,23.0,5906481152.0,31407.445,1593544.0
48,1998,1.0,0.58,28.0,5987312640.0,29699.977,1623243.875
49,1999,1.0,0.48,27.0,6067758592.0,30221.426,1653465.375
50,2000,1.0,0.25,30.0,6148898816.0,30569.545,1684035.0
51,2001,1.0,0.45,36.0,6230747136.0,30407.066,1714442.0
52,2002,1.0,0.77,38.0,6312407552.0,31458.27,1745900.25
53,2003,1.0,0.75,44.0,6393898496.0,33304.418,1779204.625
54,2004,1.0,0.58,32.0,6475751424.0,33998.957,1813203.625
55,2005,1.0,0.74,45.0,6558176256.0,34331.27,1847534.75
56,2006,1.0,0.55,38.0,6641416192.0,35666.414,1883201.375
57,2007,1.0,1.02,47.0,6725948416.0,35943.77,1919145.125
58,2008,1.0,0.3,29.0,6811597312.0,36728.855,1955874.0
59,2009,1.0,0.64,41.0,6898306048.0,36597.754,1992471.625
60,2010,1.0,0.75,35.0,6985603072.0,38202.047,2030673.75
61,2011,1.0,0.52,29.0,7073125376.0,39451.125,2070124.875
62,2012,1.0,0.49,40.0,7161697792.0,39833.223,2109958.0
63,2013,1.0,0.7,41.0,7250593280.0,39947.32,2149905.25
64,2014,1.0,0.76,51.0,7339013632.0,40495.234,2190400.75
65,2015,1.0,0.85,29.0,7426597376.0,40944.281,2231344.75
66,2016,1.0,1.17,25.0,7513474048.0,40052.039,2271397.0
67,2017,1.0,1.02,30.0,7599822336.0,40428.684,2311825.75
68,2018,1.0,0.82,42.0,7683789824.0,41007.867,2352833.5
69,2019,1.0,0.93,38.0,7764951040.0,41639.84,2394473.25
70,2020,1.0,1.17,32.0,7840952832.0,39321.844,2433795.25
71,2021,1.0,0.81,47.0,7909295104.0,41062.895,2474858.0
72,1950,2.0,-0.27,2.0,2499322112.0,11428.435,607670.188
73,1951,2.0,-0.42,3.0,2543130368.0,11978.877,619649.062
74,1952,2.0,0.11,1.0,2590270976.0,12190.116,631839.125
75,1953,2.0,0.15,2.0,2640278784.0,12479.874,644319.0
76,1954,2.0,-0.1,1.0,2691979264.0,12793.677,657112.688
77,1955,2.0,-0.16,4.0,2746072064.0,13628.81,670741.5
78,1956,2.0,-0.24,1.0,2801002752.0,14315.245,685056.812
79,1957,2.0,-0.03,1.0,2857866752.0,14768.167,699824.938
80,1958,2.0,0.22,0.0,2916108032.0,15192.604,715017.562
81,1959,2.0,0.07,2.0,2970292224.0,15960.473,730978.0
82,1960,2.0,0.13,3.0,3019233536.0,15955.755,746933.75
83,1961,2.0,0.19,1.0,3068370688.0,15524.516,762458.25
84,1962,2.0,0.15,2.0,3126686720.0,15643.748,778102.062
85,1963,2.0,0.18,3.0,3195779328.0,15924.23,794026.25
86,1964,2.0,-0.1,1.0,3267212288.0,16305.338,810331.625
87,1965,2.0,-0.17,5.0,3337112064.0,16384.297,826715.875
88,1966,2.0,-0.04,5.0,3406416896.0,16714.65,843430.562
89,1967,2.0,-0.21,6.0,3475448064.0,17168.934,860599.5
90,1968,2.0,-0.14,4.0,3546810880.0,17888.312,878487.812
91,1969,2.0,-0.18,7.0,3620655360.0,18433.381,896921.188
92,1970,2.0,0.22,4.0,3695390208.0,19497.402,916418.562
93,1971,2.0,-0.15,7.0,3770163200.0,20091.359,936509.875
94,1972,2.0,-0.18,6.0,3844800768.0,20819.232,957329.188
95,1973,2.0,0.32,3.0,3920251392.0,21533.803,978862.938
96,1974,2.0,-0.27,4.0,3995516928.0,21338.432,1000201.375
97,1975,2.0,0.08,3.0,4069437184.0,21424.682,1021626.062
98,1976,2.0,-0.06,4.0,4142505728.0,22296.721,1043922.812
99,1977,2.0,0.22,5.0,4215772416.0,22910.027,1066832.875
100,1978,2.0,0.1,10.0,4289657600.0,23300.564,1090133.375
101,1979,2.0,-0.1,7.0,4365582848.0,23677.932,1113811.375
102,1980,2.0,0.39,5.0,4444007936.0,23585.891,1137397.25
103,1981,2.0,0.42,8.0,4524627456.0,23427.91,1160825.125
104,1982,2.0,0.15,5.0,4607984640.0,23293.379,1184118.5
105,1983,2.0,0.43,16.0,4691884032.0,23811.387,1207929.875
106,1984,2.0,0.14,8.0,4775836160.0,24970.838,1232900.75
107,1985,2.0,-0.04,16.0,4861730816.0,25405.865,1258306.5
108,1986,2.0,0.37,6.0,4950063104.0,25744.014,1284050.625
109,1987,2.0,0.43,11.0,5040984576.0,26386.771,1310437.375
110,1988,2.0,0.44,10.0,5132294144.0,27166.314,1337603.625
111,1989,2.0,0.3,8.0,5223704064.0,27279.248,1364882.875
112,1990,2.0,0.44,65.0,5316175872.0,27634.754,1392517.75
113,1991,2.0,0.5,14.0,5406245888.0,28002.021,1420519.625
114,1992,2.0,0.4,10.0,5492686336.0,27470.73,1447990.375
115,1993,2.0,0.37,13.0,5577433600.0,27689.318,1475679.75
